Purchase_ID,Gamer_ID,Game_ID,Quantity,Purchase_Date
1,1,1,1,2021-07-10
2,2,2,2,2021-08-15
3,3,3,1,2021-09-20
4,4,4,2,2021-10-05
5,5,5,1,2021-11-11
6,6,6,1,2021-12-22
7,7,7,3,2022-01-13
8,8,8,2,2022-02-14
9,9,9,1,2022-03-25
10,10,10,2,2022-04-30
11,1,3,1,2022-05-18
12,2,4,2,2022-06-27
13,3,5,1,2022-07-16
14,4,6,3,2022-08-03
15,5,7,2,2022-09-14
16,6,8,1,2022-10-22
17,7,9,2,2022-11-11
18,8,10,1,2022-12-25
19,9,1,3,2023-01-10
20,10,2,1,2023-02-19
21,1,5,1,2023-03-23
22,2,6,2,2023-04-17
23,3,7,3,2023-05-20
24,4,8,1,2023-06-25
25,5,9,1,2023-07-15
26,6,10,1,2023-08-30
27,7,1,2,2023-09-12
28,8,2,1,2023-10-18
29,9,3,2,2023-11-20
30,10,4,1,2023-12-05
